ID;Labels
D2-1;Anthropic
D2-2;Anthropic
D2-3;Google
D2-4;Meta
D2-5;Human
D2-6;Anthropic
D2-7;Google
D2-8;Google
D2-9;Google
D2-10;OpenAI
D2-11;OpenAI
D2-12;Human
D2-13;Human
D2-14;Human
D2-15;Anthropic
D2-16;Anthropic
D2-17;Anthropic
D2-18;Anthropic
D2-19;Anthropic
D2-20;Human
D2-21;Human
D2-22;Anthropic
D2-23;Google
D2-24;Human
D2-25;Google
D2-26;Anthropic
D2-27;Google
D2-28;Human
D2-29;OpenAI
D2-30;Human
D2-31;Google
D2-32;Meta
D2-33;OpenAI
D2-34;Google
D2-35;OpenAI
D2-36;Human
D2-37;Meta
D2-38;Human
D2-39;Meta
D2-40;Anthropic
D2-41;Anthropic
D2-42;Anthropic
D2-43;Anthropic
D2-44;Google
D2-45;Anthropic
D2-46;OpenAI
D2-47;OpenAI
D2-48;Google
D2-49;Anthropic
D2-50;Meta
D2-51;Google
D2-52;Meta
D2-53;OpenAI
D2-54;OpenAI
D2-55;Anthropic
D2-56;OpenAI
D2-57;OpenAI
D2-58;Human
D2-59;Anthropic
D2-60;Human
D2-61;Google
D2-62;Meta
D2-63;Google
D2-64;Anthropic
D2-65;Meta
D2-66;Google
D2-67;Google
D2-68;OpenAI
D2-69;OpenAI
D2-70;Anthropic
D2-71;Anthropic
D2-72;Human
D2-73;OpenAI
D2-74;Anthropic
D2-75;OpenAI
D2-76;Anthropic
D2-77;Meta
D2-78;OpenAI
D2-79;Google
D2-80;OpenAI
D2-81;Human
D2-82;Human
D2-83;OpenAI
D2-84;OpenAI
D2-85;Meta
D2-86;OpenAI
D2-87;OpenAI
D2-88;Anthropic
D2-89;Human
D2-90;OpenAI
D2-91;Anthropic
D2-92;Human
D2-93;Google
D2-94;Meta
D2-95;Google
D2-96;Anthropic
D2-97;Anthropic
D2-98;Anthropic
D2-99;Google
D2-100;Anthropic
D2-101;OpenAI
D2-102;OpenAI
D2-103;OpenAI
D2-104;Anthropic
D2-105;Google
D2-106;Google
D2-107;Meta
D2-108;Google
D2-109;Google
D2-110;OpenAI
D2-111;Human
D2-112;Google
D2-113;Anthropic
D2-114;OpenAI
D2-115;OpenAI
D2-116;Google
D2-117;Meta
D2-118;Google
D2-119;OpenAI
D2-120;OpenAI
D2-121;Human
D2-122;Human
D2-123;Google
D2-124;OpenAI
D2-125;Google
D2-126;Meta
D2-127;Anthropic
D2-128;Anthropic
D2-129;Human
D2-130;Google
D2-131;OpenAI
D2-132;Human
D2-133;Anthropic
D2-134;Anthropic
D2-135;OpenAI
D2-136;OpenAI
D2-137;OpenAI
D2-138;OpenAI
D2-139;Meta
D2-140;OpenAI
D2-141;OpenAI
D2-142;OpenAI
D2-143;OpenAI
D2-144;Google
D2-145;OpenAI
D2-146;OpenAI
D2-147;Human
D2-148;OpenAI
D2-149;Human
D2-150;Anthropic
