ID;Labels
D2-1;Google
D2-2;Google
D2-3;Google
D2-4;Meta
D2-5;Human
D2-6;Openai
D2-7;Anthropic
D2-8;Google
D2-9;Anthropic
D2-10;Human
D2-11;Google
D2-12;Human
D2-13;Openai
D2-14;Meta
D2-15;Google
D2-16;Human
D2-17;Anthropic
D2-18;Google
D2-19;Openai
D2-20;Human
D2-21;Openai
D2-22;Human
D2-23;Google
D2-24;Openai
D2-25;Human
D2-26;Google
D2-27;Google
D2-28;Human
D2-29;Openai
D2-30;Openai
D2-31;Google
D2-32;Meta
D2-33;Google
D2-34;Google
D2-35;Openai
D2-36;Openai
D2-37;Openai
D2-38;Openai
D2-39;Openai
D2-40;Openai
D2-41;Openai
D2-42;Openai
D2-43;Anthropic
D2-44;Google
D2-45;Google
D2-46;Anthropic
D2-47;Human
D2-48;Google
D2-49;Human
D2-50;Openai
D2-51;Google
D2-52;Openai
D2-53;Openai
D2-54;Openai
D2-55;Anthropic
D2-56;Anthropic
D2-57;Openai
D2-58;Openai
D2-59;Human
D2-60;Openai
D2-61;Openai
D2-62;Meta
D2-63;Google
D2-64;Google
D2-65;Meta
D2-66;Google
D2-67;Google
D2-68;Google
D2-69;Openai
D2-70;Openai
D2-71;Openai
D2-72;Openai
D2-73;Human
D2-74;Anthropic
D2-75;Human
D2-76;Openai
D2-77;Meta
D2-78;Openai
D2-79;Openai
D2-80;Google
D2-81;Human
D2-82;Human
D2-83;Openai
D2-84;Openai
D2-85;Meta
D2-86;Anthropic
D2-87;Openai
D2-88;Anthropic
D2-89;Openai
D2-90;Meta
D2-91;Openai
D2-92;Openai
D2-93;Openai
D2-94;Meta
D2-95;Openai
D2-96;Openai
D2-97;Openai
D2-98;Anthropic
D2-99;Google
D2-100;Human
D2-101;Human
D2-102;Openai
D2-103;Openai
D2-104;Anthropic
D2-105;Google
D2-106;Google
D2-107;Openai
D2-108;Google
D2-109;Google
D2-110;Openai
D2-111;Human
D2-112;Google
D2-113;Openai
D2-114;Google
D2-115;Openai
D2-116;Google
D2-117;Meta
D2-118;Google
D2-119;Human
D2-120;Openai
D2-121;Openai
D2-122;Openai
D2-123;Meta
D2-124;Meta
D2-125;Openai
D2-126;Openai
D2-127;Anthropic
D2-128;Google
D2-129;Human
D2-130;Openai
D2-131;Meta
D2-132;Human
D2-133;Google
D2-134;Anthropic
D2-135;Openai
D2-136;Openai
D2-137;Openai
D2-138;Google
D2-139;Meta
D2-140;Meta
D2-141;Meta
D2-142;Meta
D2-143;Meta
D2-144;Openai
D2-145;Meta
D2-146;Openai
D2-147;Openai
D2-148;Openai
D2-149;Google
D2-150;Anthropic
